userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label
Kyri J,1,long term loyal customer clear seller aliexpress work together customer problem arisemisleading avert document verbal abuse seller legitimate complaining aliexpress really not care act even appealswhen order something probability success return low problem shipping often not coveredcontact support help automatic waste time endless loop,2026-03-10 09:12:56,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Cynthia Butler,3,ad said pick 3 free item picked said would cost 800 receive freefalse advertising,2026-03-12 17:20:41,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Hans Ko,1,site dispose factory defect attractive price well advertised one thing shipped another customer service return refund nightmare many already stated dont fall scar site,2026-03-12 09:12:24,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Ben P,1,using number time last order came broken transit packing insufficient aliexpress made jump hood hood film photo reasonable amount application asked unreasonable long video photo package opened time date stamped showed opening finding broken item not honour refund policy wont using summer avoid,2026-03-08 10:17:58,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Tracey Grimm,5,far always receive delivery earlier stated never problem,2026-03-09 12:34:17,0,labeled_reviews_raw,Neutral,Positive,Negative,Neutral
Emmanuel,2,login keep logging they temporarily suspended account,2026-03-09 20:06:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Ronnie,1,full summer constantly slamming email push ratification dog,2026-03-11 04:56:46,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Luis Arroyos,4,working great far,2026-03-08 02:12:34,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Delislav Asparuhov,1,much ratification spasm,2026-03-07 21:51:08,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Scott Conder,1,seller photo description misleading price gotten high seller raised price 500 item not worth search algorithm garage aliexpress need govern seller action better waste much time looking want get frustrated go bay instead,2026-03-12 00:27:03,4,labeled_reviews_raw,Negative,Negative,Negative,Negative
philip paranthoiene,4,no never give 5 star anything 4 star maximum issue delivery got country disappearedali express prompt courteous deal eventually refused full amount purchased item,2026-03-11 08:06:57,0,labeled_reviews_raw,Positive,Positive,Negative,Positive
parky,1,summer refuse refund make shipping error up vanity not choose locked delivery checkout instead tell very deliver locked send email otherwise aliexpress might send stuff different courier unable deliver boris locked unable get refund summer edit contact help centre think give trying past week,2026-03-07 16:18:37,1,labeled_reviews_raw,Neutral,Negative,Negative,Negative
Hjbihb Bjhbihb,1,pp crash search,2026-03-08 04:26:43,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Kevin Mcmahon,4,excellent,2026-03-10 23:47:10,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Marie Barrow,4,great pp great product,2026-03-07 14:57:35,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Juan Roldan,1,sucked many ad buggy super hard stop sending email everything take forever arrive also might find 5 dollar item 20 dollar shipping yeah kind useless,2026-03-07 20:31:42,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Nicole Trammell,5,fun,2026-03-11 15:29:00,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Marky B,1,dont expect refund avoid robbed customer service ai sends repetition reply complaint avoid sent link doesn work reply late delete pp warn others not install,2026-03-08 14:32:21,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Zack,1,signed instantly started slamming installed,2026-03-10 21:40:26,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Alex likes dogs,1,slowly show gross image no matter look things like infection sexual image item say delivered didn get dont get refund page refreshed every time try get one can also thing like swastika ll customer service doesn help take 50 picture item return even didn get item literally no way get refund not install,2026-03-11 06:46:07,12,labeled_reviews_raw,Negative,Negative,Negative,Negative
Captain Traveler,1,worst company ever see court,2026-03-09 14:48:05,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
GIZMO SATANICO,1,not sign 10003 server network error,2026-03-12 16:56:00,0,labeled_reviews_raw,Neutral,Negative,Negative,Negative
Lion Soldier,3,title great pp impossible pay than really want use pp give 5 star forced give 3 star payment method than u not bank account international card use man mobile money domo everything million u ready buy stuck checkout add man domo pp 1 choice than please help u shop adding local mobile money option,2026-03-08 19:03:02,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Russell Perkins,1,disgusting treatment false advertising pair product sold never received claiming one item give got evidence avert order receipt delayed delayed delayed in still fighting refund 2 month line never treated like company seller watch navrider seller total scar ali express enabling many like withholding refund admission negligence,2026-03-10 10:50:39,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Jaco van As,1,resistant start trusted gut aliexpress scar wait ever get product robbed not giving way ordered complain put provide solid proof say still not enough proof lost money scar reporting play store well,2026-03-11 08:42:40,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
CATCH22,3,seller polite helpful use chat not item not sent can get satisfactory answer,2026-03-11 13:23:47,1,labeled_reviews_raw,Negative,Neutral,Negative,Negative
Sonia Ikie,1,awful summer transaction history lost paying good,2026-03-10 19:19:07,1,labeled_reviews_raw,Negative,Negative,Positive,Negative
Alex,1,not buy shop doesn allow use real name customer service even email ai go circle dont want buy fine that,2026-03-11 07:43:39,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Dokiware,1,shipping fee way ridiculous,2026-03-09 14:26:16,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
W. Simmons,5,many cool gift,2026-03-09 08:25:34,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
e G,1,emma give one star false advertisement pricking,2026-03-12 19:22:18,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Zelda Hulley,1,funny discount removed soon need pay,2026-03-12 14:39:26,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Bridgette Schram,1,horrible business avoid cost missing item order refused refund asked prove never received use them faster shipping reliable excellent customer service,2026-03-11 16:39:01,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Rob G,1,terrible customer service impossible get money back faulty product shipped,2026-03-11 02:20:19,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Victor Hugo,1,misha contra est dandy problems de segurança na horn de aplicar upon pursue s para aplicar upon que do error de segurança divide que se fossa ma compare else iris war mess bloqueio,2026-03-08 15:49:28,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Holly Benitez,5,purchased set ear bud for give happy in going try make another purchase another great item,2026-03-10 02:35:23,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Victor S,3,year usage give noticed something different purchase buying something high rating later open item already bought realize another store item low rating obviously another store owned person like buy something average rating 49 star one store later see purchased another store 41 rating,2026-03-09 05:11:23,8,labeled_reviews_raw,Neutral,Neutral,Neutral,Neutral
Kevin Rankin,1,taken money 2 occasion never delivered item not provide refund customer service worst send lengthy passed message no relevance response go back pathetic customer service wrote,2026-03-09 04:12:30,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Yamileth Vides,1,may mal experience con est pp no te permit her ningún return ni unique el client ten la ran to order do vested de quinceañera environs also totalmente different lo que free to le envied forms pruebas de lo que estate diciendo ni an as iron la autorización para revolver los vested as que too quedarme con ellis solo malgaste mi dinner en est pp mi calificación para alixpress e de hero,2026-03-08 04:36:45,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Dirty South 316,1,absolute joked not use webster absolute joke,2026-03-11 00:23:02,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Matt Schellhaas,5,lalalaley try aliexpress they not breaking summer trust aliexpress good,2026-03-10 23:33:59,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative
Marisol Chico (TheAmazingDuck),1,clot seller sell extremely cheap item purchase item boost profile sale page make look good reality dont item message cancel order price accidentally marked incorrectly another seller told dont receive item much wouldn know get shipped cancel need urgently one stop store caries store summer,2026-03-07 02:24:39,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Paris Tunc,1,r seller send scar fig battery instead 20kg 160 charged 2 week make still stuck limbo read review well known con artist many people l criminal minded company not concealing fraud everyday multiple time nothing warned put bank case give total black list brand didn listen got email paying willpenalise,2026-03-12 04:45:50,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Jamie Harris,1,subscribe certain ratification category still receive ratification category practice unlawful,2026-03-12 10:41:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Stefan Flavius Chiper,5,cumpărați cut încredere profusely sent de climate înaltă i chair sent force bone indifferent de fatal c sent produce in china no at niciodată problems cut cumpărăturile ba chair print note operate force avantajoase la produce de la branduri popular,2026-03-09 15:26:03,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Mark KERR,5,easy navigable,2026-03-07 03:48:09,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Martin Gray,1,tried ordered thing one offer package arrived model left footstep hour finally got home opened half item missing customer support unable figure want refund item replacing keep trying blame courier edit went horrendous refund process raise refund per item missing got rejected no proof courier didn video opening crazy,2026-03-12 09:22:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Sara Oliver,5,easy shopping fun innovative broad selection,2026-03-12 14:36:42,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Trisna Di Japan,1,scar order not sent maybe free,2026-03-08 23:13:33,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Mike M,2,advertising one thing sending another still waiting customer service get back order,2026-03-10 16:17:36,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
porscha foster,1,talk false advertisement download prove is advertise ad 1 said yeah right download 90016k plus 4065 shipping fee in sure grab is around 500 shop no shipping,2026-03-09 20:28:00,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Roeleen Bloemhof,2,not spanish email come spanish annoying nothing happens following said,2026-03-08 00:34:54,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Asia Johnson,3,buy guy,2026-03-12 20:36:18,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Kelly Baker,3,hi problem pp give updated also install installed wont let free gift say keep saying doesn support viewing local supermarket item please update pp latest version done please sort,2026-03-09 13:48:51,0,labeled_reviews_raw,Negative,Neutral,Negative,Negative
I love Fnaf,5,ι of ηєω нєяє of ѕσяяу ι υѕє тнιѕ ƒσηт ι of 9 уєαяѕ of of ι ƒιη тнιѕ νєяу σηƒυѕιηg вυт ι ℓσνє of ιтѕ ƒυη ωнєяє уσυ go αρρѕ,2026-03-09 18:15:45,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Craig Maybury,1,pp crashing constantly can access play arm area,2026-03-11 02:53:35,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
frank quru,1,repetition irrelevant response never address raised issue directly 2 month since placed order still keep telling transit arrived country 40 day ago see reply stupid still wanting repeat issue see ridiculous response,2026-03-09 03:10:22,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Xzaevory Gonzalez,3,,2026-03-10 06:16:52,1,labeled_reviews_raw,Neutral,Neutral,Neutral,Neutral
Jasmine Morris,5,awesome,2026-03-08 01:32:57,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Misty Vanhorn,5,fast delivery good price item product look good,2026-03-10 07:58:37,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Bennett Woodsum,2,mad said total 2 dollar charged 10 mad,2026-03-08 02:37:57,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Johan Spruyt,1,not recommend aliexpress ordered item never received cracking appears item never sent no item no refund say item local custom yet contracting custom find nothing supplied cracking number shop risk,2026-03-10 06:37:24,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Arminas Matulevicius,5,couldn say anything bad like amazon cheaper lot cheaper u get prize,2026-03-12 08:39:04,0,labeled_reviews_raw,Positive,Positive,Negative,Positive
Michael Ward,1,give tried contracting aliexpress numerous occasion no reply ordered item january order still not arrived checked trace saying shipment canceled no explanation arrive lost patience themwhy can communication,2026-03-12 18:54:50,0,labeled_reviews_raw,Neutral,Negative,Negative,Negative
Senzo blessing Cele,5,yes pay,2026-03-12 06:20:22,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Luna,1,item missing order trouble getting money back,2026-03-09 16:33:13,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Eyo Peter,3,ordering siberia know one way trip item damaged wont able return give lost serious money almost 100k one seller sent ambled display doesn work platform doesn realistic return logistics siberia like them take risk go ahead,2026-03-12 01:16:13,1,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Great Mogbey,4,good pp buy old thing buy high shipping fee,2026-03-07 09:20:04,0,labeled_reviews_raw,Negative,Positive,Positive,Positive
Evarest Natse,1,ali express worst give following refund 4 month till today never gotten money back pp full summer want money dont buy anything ali express,2026-03-10 12:19:25,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Shermonia Dobbs,5,wait package offer discount play game add order,2026-03-09 04:43:07,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Marcie Graham,1,never got stuff lied failing source dont trust lost money them better,2026-03-11 21:53:27,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Sal,5,thank,2026-03-09 13:29:35,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Gorebox gaming yt,5,cheap almost item free shipping the shipping time could faster,2026-03-08 05:43:35,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative
ПСИХОПАТИНА,1,lie every turn,2026-03-12 01:37:03,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Sissie Payne,1,bad customer service,2026-03-09 16:56:06,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Mark -,1,can unload video pp requesting refund,2026-03-09 21:28:32,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
rrockstaarr,1,terrible pp haunt received order well month no refund keep replying someone get back within 2448 hour message every three day still response not buy,2026-03-12 10:18:33,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
SHaina Callaway,5,by plow 67 since,2026-03-09 03:42:08,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Angela Stern,1,garage no comment,2026-03-10 06:11:01,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
trish Pyles,1,not load,2026-03-09 23:21:46,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Samarth Sandeep,1,far worst pp bought 3 product non came contact shipping company instantly hang highly would not recommend 5 star review probably not one worst apes not install use happened friend,2026-03-12 22:14:26,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Hassan Jones,1,not deliver package asked refund replacement ignored never received anything back regarding situation,2026-03-10 23:58:35,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Mr Smith,1,stopped accepting debitcredit card,2026-03-12 00:05:51,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Nwaneri Chrisbless,1,delivery cracking process especially electronics cadet coming china terrible time even cracking update stop dating customer service know nothing you dark week no information order whereabouts condition yeah understand delivery time varies but least ff c ing keep updated sometimes feel like uninstalling pp stick them,2026-03-07 13:45:51,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
CLEAVER SAMAKAYI,2,improve african service not good pp use ordering africa also stop sending ad email,2026-03-07 06:58:50,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Atif Ahmed,5,good,2026-03-10 17:21:46,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
De P,1,consistently got pop saying error order could not completed contracting customer service not help kept getting sent circle,2026-03-08 06:01:26,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Zachary Hernandez,1,signed account instantly got account locked could even make first purchase appealed still didn tell account locked waste time,2026-03-12 05:26:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Delawno Allen,5,personally pp reliable really like selection item unfordable exceeded expectation first order overall wonderful pp,2026-03-07 08:17:18,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
J,5,really good pp product come good shape unfordable price,2026-03-11 12:05:12,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Jagger Norden,2,price good hate choice thing almost everything choice want buy one thing not three please remove aliexpress,2026-03-12 13:02:02,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Diane,1,mostly everything bought cheap flies june especially clothing new site bought lot stuff wish hadn could found nicer stuff thrown away dumpster several item never even received complained ignored no customer service phone number tried cancel couple order immediately ordered sent anyway charged despite effort put customer service,2026-03-09 03:00:26,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
S LMK,1,really sick constant pop up ad let purchase peace ff unable turn constant promotion message store flood message center impossible find important message user experience could not possibly frustration not want play stupid mobile game coin absolute masterclass userhostile hateful design,2026-03-10 05:43:29,3,labeled_reviews_raw,Negative,Negative,Negative,Negative
Thomas Arthur,5,amazed,2026-03-12 07:25:11,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Honor Ao,1,item ordered never arrived also recorder still nothing waste money ask,2026-03-12 18:57:06,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
GalaxyA05s,5,stars,2026-03-07 05:08:31,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Fractal Codex,1,no way view complete order individual item joke,2026-03-08 08:14:27,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Lebohang Pasane,1,worst experience ever nice bought bought became cold negligent lied said order country never arrived that go slamming people judgement surely befall forgive no string attached feel sorry,2026-03-12 20:04:32,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Cynthia Swartout,1,not subscribed still get email not interested company dont know still get email subscribed wish would stop sending email please thank,2026-03-12 09:46:43,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
