userName,score,content,at,thumbsUpCount,source,app,score_based,rule_based,final_label
Cannon “Cannon”,1,everything seems to be rip offs of another product and this doe lead to uninformed customer buying product with incorrect description if your getting what you wanted i simply dont believe you spent hundred nothing authentic and nothing made it this far without a broken piece or similar issue,2026-02-25 18:06:48,2,ali-express_reviews,unknown,Negative,Negative,Negative
azka asim,5,very fast delivery product also good no damage,2026-03-12 10:48:21,0,temu_reviews,unknown,Positive,Positive,Positive
tracy nyaoro,5,excellent,2026-02-26 14:46:00,0,ali-express_reviews,unknown,Positive,Positive,Positive
Darla Hamilton,1,change payment card getting thing not ordered trying to change my payment method,2026-03-11 21:57:06,0,temu_reviews,unknown,Negative,Negative,Negative
mdad mia,5,good,2026-02-24 21:47:51,0,noon_reviews,unknown,Positive,Positive,Positive
Ethel Reid,1,it not letting me pick what i want,2026-03-11 04:43:07,0,ali-express_reviews,unknown,Negative,Negative,Negative
Donald K,1,recent update crashed everything everything is out of stock or the page doesnt loadshows error thing are slow to load a well,2026-03-05 23:36:58,0,amzon_reviews,unknown,Negative,Neutral,Negative
Cam & Family,5,ali is a great app for almost anything you need item i have purchased have all been exactly what i asked for and wanted and they last a longtime,2026-03-06 16:21:07,0,ali-express_reviews,unknown,Positive,Positive,Positive
Mellissa Cecil,5,fast shipping great product,2026-03-07 03:25:27,0,ali-express_reviews,unknown,Positive,Positive,Positive
Doc Jackson,1,this is now riduculous bought a genuine leather jacket from seller wellsome when it arrived it obvioulsly wasnt made from leather it also had a label in it which i translated via google translate which clearly stated the jacket wa 92 polyester and 8 spandex i immediately contacted ali who ignored this absolute evidence of fraud instead they allowed the seller to continue selling fake while repeatedly refusing my claim i went to my credit card company who gave me a refund,2026-02-18 21:12:24,3,ali-express_reviews,unknown,Negative,Negative,Negative
Marchand franklin Arends,5,i love my order it very nice,2026-03-12 13:52:44,0,temu_reviews,unknown,Positive,Positive,Positive
Sophia Hamilton,5,i bought the boneless couch an it is amazing great buy,2026-03-11 23:45:06,0,temu_reviews,unknown,Positive,Positive,Positive
kenda bradford,1,i used to love ordering from here but now they have cancelled order that have no reason to be cancelled and they still havent refunded my money for an order they cancelled so until they do it one star,2026-03-11 17:10:57,1,amzon_reviews,unknown,Negative,Positive,Negative
Mr and miss Whitcher,5,good,2026-03-07 20:33:02,0,amzon_reviews,unknown,Positive,Positive,Positive
ERIC GRINSTEAD,3,temu your company is great but some of your vendor need to follow your company policy and regulation that will make your client shopping great,2026-03-11 23:21:08,0,temu_reviews,unknown,Neutral,Positive,Neutral
Ross Belknap,5,awesome,2026-03-12 11:12:31,0,temu_reviews,unknown,Positive,Neutral,Positive
Chuck Evans,1,random add to last order got me thought i put in cart rufus ai is improving when it will start search review is gone price change notice vanish let me get them back lightning deal and used item dont have buy now change item sizecoloretc very slow too many review are not for listed product too much junk ha 4 star for another product need unit price filter sort please need a dark theme fix these id give it 5 star wa buy now never buy extended warranty,2026-03-11 02:08:10,83,amzon_reviews,unknown,Negative,Negative,Negative
MKII,3,really buggy and slow app customer service with agent feel like ai or a bot waiting for return after received an item that incorrectly advertised seller ignore you or deny their mistake they really changed my thought about chinese people let hope i get money back,2026-02-28 02:13:13,1,ali-express_reviews,unknown,Neutral,Neutral,Neutral
Fahad Al Maliki,2,they have some problem if you return item they not return back will not buy something expensive it piece of advice your money they will fly awy,2026-02-24 19:12:46,1,ali-express_reviews,unknown,Negative,Negative,Negative
Ali Raza,5,good store great alipay mpay gpay,2026-03-04 03:50:34,0,ali-express_reviews,unknown,Positive,Positive,Positive
Reg Lynn,3,it keep crashing,2026-03-08 18:41:54,1,amzon_reviews,unknown,Neutral,Neutral,Neutral
Sue White,3,im annoyed that before placing an order it say one delivery date and then after the order is placed it ha a different date later,2026-03-06 01:10:14,0,amzon_reviews,unknown,Neutral,Neutral,Neutral
Atanda Raji,5,i love temu dey deliver exactly what i got,2026-03-12 06:34:16,0,temu_reviews,unknown,Positive,Positive,Positive
Ms. Williams,1,do not like the update why why why do you have to add an item to the cart to see detail and price worse update ever if i can give 0 star i would,2026-03-06 00:22:31,1,amzon_reviews,unknown,Negative,Negative,Negative
Prakash H,4,good offer,2026-03-03 14:51:36,0,noon_reviews,unknown,Positive,Positive,Positive
Catherine Gladwyn,5,it great no complaint at all,2026-03-06 20:59:32,0,ali-express_reviews,unknown,Positive,Positive,Positive
Arsh Singh,5,deep,2026-03-11 22:44:48,0,temu_reviews,unknown,Positive,Neutral,Positive
rebecca padgett,5,get me in trouble but i love the app,2026-03-12 18:40:32,0,temu_reviews,unknown,Positive,Positive,Positive
Adeel Sarwar,4,this is a very good app,2026-03-10 01:22:05,0,noon_reviews,unknown,Positive,Positive,Positive
Elizabeth Elias,4,all good,2026-03-10 14:15:01,0,amzon_reviews,unknown,Positive,Positive,Positive
Syedhamid Ali,5,very good,2026-03-07 06:18:07,0,noon_reviews,unknown,Positive,Positive,Positive
Juan Mejia,5,great deal great product good experience to buy here,2026-03-10 20:01:31,0,amzon_reviews,unknown,Positive,Positive,Positive
Wurmi,5,app ist einfach zu bedienen und die produkte die man bestellt werden zuverlässig geliefert hatte bi jetzt keine probleme und bin zufrieden mit der app,2026-03-11 22:06:10,0,temu_reviews,unknown,Positive,Neutral,Positive
Santosh,4,good,2026-03-04 13:41:34,0,noon_reviews,unknown,Positive,Positive,Positive
MD Lokman Mia,5,good,2026-03-05 22:02:16,0,noon_reviews,unknown,Positive,Positive,Positive
Colin Crowley,1,shortest app and service they ask for photo of bank card and id which is illegal in au should be closed down,2026-03-08 16:37:29,1,ali-express_reviews,unknown,Negative,Neutral,Negative
Sam Fall,1,ha gone downhill in recent year i have been a loyal customer since 2010 the dispute process ha become overcomplicated and some courier used like cainao are not reputable they mark parcel a being delivered and do not respond to enquiry if you order from this platform ensure the seller is using imile courier they provide photo a proof of delivery edit any appeal or escalation end in the same way item that arrive faulty or damaged good luck trying to go through the dispute,2026-02-16 23:40:25,3,ali-express_reviews,unknown,Negative,Neutral,Negative
Lauren,3,amazon went down hill when they started letting anyone sell and ship item,2026-03-05 02:13:51,0,amzon_reviews,unknown,Neutral,Neutral,Neutral
Md Tarik Anwar,5,very good,2026-03-04 16:45:32,0,noon_reviews,unknown,Positive,Positive,Positive
Katie Hudson,2,everything seems reasonably priced they have a lot of pop up ad that doesnt seem to be true to me they offer an amount of credit that you can spin the wheel and receive a cash or credit on your account but once you are ready to pay for the order you get nothing some would call it a scam i call it false advertisement dont plan on giving you nothing but the product that you buy and pay for dont fall for the credit gimmick that they promotes,2026-03-11 23:08:52,0,temu_reviews,unknown,Negative,Negative,Negative
Ehab Salama,5,best app,2026-03-08 16:19:58,0,noon_reviews,unknown,Positive,Positive,Positive
Claudette Henry,5,yes i will,2026-03-12 22:13:28,0,amzon_reviews,unknown,Positive,Neutral,Positive
Denise Mumbauer,5,i love temu most item i get are awesome some flaw with some item but you read the description fully and use your best judgement,2026-03-12 22:49:55,0,temu_reviews,unknown,Positive,Positive,Positive
George Corris,4,i like the way thing work with out the app,2026-02-21 19:09:41,0,ali-express_reviews,unknown,Positive,Neutral,Positive
Debbie Hurrell,5,i love temu had load of item and never had a problem well worth the money,2026-03-12 20:55:05,0,temu_reviews,unknown,Positive,Negative,Positive
Nomusa Mshololo,5,i love it so much,2026-03-12 06:27:23,0,temu_reviews,unknown,Positive,Positive,Positive
Larry Condra,1,screw amazon cant make an app for android tablet unbelievable online website is horrible i will be canceling my prime and moving to walmart have the same stuff and a lot of time at cheaper price and faster amazon promise of same day delivery next day delivery 2 day delivery it never happens by by amazon,2026-03-05 00:38:16,2,amzon_reviews,unknown,Negative,Negative,Negative
Andy Nisbet,1,massively reduce the pointless animation nobody want them and theyre not necessary they make using the app an endurance rather than an enjoyment,2026-03-07 18:45:13,1,ali-express_reviews,unknown,Negative,Negative,Negative
Angie,1,their price are not honest if you add to cart and select the shipping their price will become higher be careful this is dishonest marketing they tell you one cheap price then upcharge once you are about to purchase the item,2026-03-09 23:47:09,1,ali-express_reviews,unknown,Negative,Negative,Negative
Precious Chinecherem,5,ordering from temu is a sure deal,2026-03-12 22:23:15,0,temu_reviews,unknown,Positive,Neutral,Positive
Paul,2,buy again on the you tab ha never worked even across multiple device and a brand new phone cone on guy fix it already,2026-03-12 13:51:05,1,amzon_reviews,unknown,Negative,Negative,Negative
Jenny Wortham,5,temu ha been great so far they handle any problem professionally,2026-03-11 21:26:29,0,temu_reviews,unknown,Positive,Neutral,Positive
Afroja Jiva,5,it nice item and good to download service so fast and item good a well recommend to download,2026-03-04 07:54:26,0,ali-express_reviews,unknown,Positive,Positive,Positive
Vadim K,1,used to be a decent app however after they ditched tablet support it ha no use for me dumb move,2026-03-05 22:37:33,0,amzon_reviews,unknown,Negative,Neutral,Negative
Kelly McCloy,2,there too many bug in the app atm when i scroll thru the feed and click on an item not only is it super slow but it show a completely different item this then throw off the algorithm and then the feed continues to shoe item which arent of interest so i havent even been able to place my first order and get the benefit of the welcome deal because i give up looking out of frustration,2026-02-25 08:34:32,4,ali-express_reviews,unknown,Negative,Negative,Negative
Santiago Farero,1,not good anymore you can buy thing and there is no way to return faulty item and get refund back they keep asking you additional information,2026-02-16 17:28:10,0,ali-express_reviews,unknown,Negative,Neutral,Negative
Nandlal Jee,1,subject request to reinstate expired noon credit 2479sar technical issue dear noon support team i am a regular customer of noon and i am writing to request your assistance regarding my recently expired 2479 sar wallet credit i wa planning to use these credit for my current order of soybean seed but unfortunately i missed the deadline due to persistent technical issue with my mobile phone my device wa frequently hanging and freezing over the past few day which prevented me,2026-03-08 09:33:09,0,noon_reviews,unknown,Negative,Neutral,Negative
Jermaine Nelson,1,the reason i shop with walmart over amazon is a simple sign in issueit should never be that difficult to buy anything at all,2026-03-08 19:49:27,3,amzon_reviews,unknown,Negative,Negative,Negative
Klinsman Mensah,1,dont waste your time on this app youd just be wasting money delivery is bad product are bad listen and you will thank me later is a complete waste of time trust me,2026-03-12 19:09:55,0,temu_reviews,unknown,Negative,Negative,Negative
Marcie Graham,5,i love temu if i could hug temu i would,2026-03-11 21:47:33,0,temu_reviews,unknown,Positive,Positive,Positive
Colleen Henley,5,i really enjoy shopping with temu i have been happy with all my purchase,2026-03-12 18:39:37,0,temu_reviews,unknown,Positive,Positive,Positive
Pilar Castanuela,5,my favorite,2026-02-15 04:25:07,0,ali-express_reviews,unknown,Positive,Neutral,Positive
Muhammed Sohan,5,very good,2026-03-02 22:32:37,0,noon_reviews,unknown,Positive,Positive,Positive
Tina Wilson,5,i love temu,2026-03-12 14:43:07,0,temu_reviews,unknown,Positive,Positive,Positive
Mahmod Elfiki,5,جميل,2026-03-07 09:44:35,0,noon_reviews,unknown,Positive,Neutral,Positive
Taylor Burgin,2,a handy a amazon is the app is terrible about showing you item you are attempting to filter out when i search 100 cotton insert any clothing item the first item are always rayon or some other blendsemi or full synthetic material even with filtering material it still will not show what you are looking for what is the point of having a filter if it doe not filter,2026-03-07 19:56:22,0,amzon_reviews,unknown,Negative,Negative,Negative
Travis Hughes,2,horrible gamified app that bait you with offer that just vanish for bo reason store page that will completely change the item list while youre trying to pick item for their fake promotion causing item you may have been interested in to just disappear if you try to back up to find those item again the entire promotion being offered go away a if it never existed,2026-03-12 01:01:37,0,temu_reviews,unknown,Negative,Negative,Negative
Nay Nay,5,love it,2026-02-24 13:19:37,0,ali-express_reviews,unknown,Positive,Positive,Positive
karen douglas,5,love everything,2026-03-05 00:37:37,0,amzon_reviews,unknown,Positive,Positive,Positive
Karl Carroll,3,why do i need this app to track my package why cant i do it online through a browser exactly,2026-03-12 18:00:39,0,ali-express_reviews,unknown,Neutral,Neutral,Neutral
David Zakarea,1,the service wa extremely so bad,2026-03-10 12:15:11,2,amzon_reviews,unknown,Negative,Negative,Negative
Louis Baldacchino,5,very efficient,2026-03-12 18:56:57,0,temu_reviews,unknown,Positive,Neutral,Positive
Laticia Spears,5,perfect for dog,2026-03-12 16:52:02,0,temu_reviews,unknown,Positive,Positive,Positive
Falodun Akinwale,4,nice apphas very good and genuine product vendor are good,2026-03-12 19:48:10,0,ali-express_reviews,unknown,Positive,Positive,Positive
Matteo Sordi,1,terrible absolutely terrible customer service is either nonexistent or incompetent price are high compared to other similar platform delivery is slow not so much from china which take a while to ship but from european country for example a package wa only shipped to me and ha yet to arrive from france after two week product quality is always poor or doesnt match the description on the store page i can only advise against this app,2026-02-16 08:14:20,5,ali-express_reviews,unknown,Negative,Negative,Negative
Jabulani Sibiya,5,taxi driver,2026-03-12 20:44:25,0,temu_reviews,unknown,Positive,Neutral,Positive
Marius Tarzioru,1,is suck i got scam,2026-03-12 08:25:23,0,temu_reviews,unknown,Negative,Neutral,Negative
Dave,2,the add to delivery system doesnt work properly if you add something to an already set order to arrive with it there are chance that it just wont come that day but if you separately order it and it can be delivered the same day it will come no problem,2026-03-08 11:00:17,0,amzon_reviews,unknown,Negative,Negative,Negative
Ren Estelle,1,locked out before i could ever place an order 5 day appeal process which would prevent me from getting the new customer discount i use a vpn so at this point i think it just meant to discourage privacy dissappointing i wa really excited for the product they had,2026-03-02 02:28:38,0,ali-express_reviews,unknown,Negative,Neutral,Negative
rivaans beautyparlour,4,yo you solved racism bro,2026-03-06 23:23:48,0,amzon_reviews,unknown,Positive,Neutral,Positive
Qauzi Moen,5,good,2026-02-26 18:38:28,0,noon_reviews,unknown,Positive,Positive,Positive
Isra Al-hakim,3,not sure what is happening with the app lately but it ha been glitching a lot siging in ha become a real pain i keep signing in and it still tell me to sign in,2026-02-26 07:30:32,0,ali-express_reviews,unknown,Neutral,Negative,Neutral
Logan K,1,completely locked me out from the app because i have a tablet it 2026 figure your stuff out,2026-03-07 22:06:49,0,amzon_reviews,unknown,Negative,Neutral,Negative
renita wuyts,1,i downloaded the app and ordered a wedding dress and i specially checked if i can return the dress on the site it wa mentioned that you can return the order for free if you are not satisfiedbut i had very horrible experiencei didnt like the dress on me so i asked to return but the seller very bluntly said no you have to pay the return than after opening the dispute and discussing almost for 3 weeksi lost the case and all my money is wasted so ali express is not a good platform,2026-02-18 19:50:40,3,ali-express_reviews,unknown,Negative,Negative,Negative
Lilly Buys,2,doesnt really have anything of what people want but they have the most other random thing,2026-03-12 13:42:00,0,temu_reviews,unknown,Negative,Neutral,Negative
sravanthi dodda,1,i have negative expectation in this app please dont download this one there told free return available but there dont take return there will send damaged piece,2026-02-19 00:13:18,0,ali-express_reviews,unknown,Negative,Negative,Negative
Jenny,5,temu get such a mixed review by user but ive never had to send one thing back ive been more than happy with everything ive purchased just give them a go,2026-03-12 08:50:51,0,temu_reviews,unknown,Positive,Neutral,Positive
Anastasia Hasselman,1,why do i have to add the item to my cart to see the pricing,2026-03-05 22:45:31,0,amzon_reviews,unknown,Negative,Neutral,Negative
ahmed ismail,5,good,2026-03-06 19:54:57,0,noon_reviews,unknown,Positive,Positive,Positive
saravana kumar,5,good,2026-03-01 18:30:38,0,noon_reviews,unknown,Positive,Positive,Positive
J B,1,what is the point of overnight delivery if it doesnt show up on time thanks for nothing i dont know if anyone else ha noticed how the service quality is flat lining,2026-03-08 17:52:46,1,amzon_reviews,unknown,Negative,Negative,Negative
ahmed farhan,1,خدمة الارجاع سيئة جدا مفيش ارجاع والمناديب غير علي قدر المسئولية,2026-03-06 08:04:45,0,noon_reviews,unknown,Negative,Neutral,Negative
Joseph Rutherford,5,fantastic,2026-03-12 16:47:21,0,temu_reviews,unknown,Positive,Neutral,Positive
Burner,1,stop using speedx for delivery,2026-02-19 08:16:39,0,ali-express_reviews,unknown,Negative,Neutral,Negative
stephanie duda,1,since getting in touch with customer service is more complicated than calculus i have to say it here when i click find eligible item for same day delivery optionsstop defaulting to grocery if i want grocery ill buy them give me relevant same day item i would rather not get same day then have to put random grocery in my cart it wa perfect beforelet go of grocery youre closing all your store clearly you suck at retail grocery stop trying to force it,2026-03-05 00:03:06,1,amzon_reviews,unknown,Negative,Neutral,Negative
John Fleming,5,great service,2026-03-11 20:56:51,0,amzon_reviews,unknown,Positive,Positive,Positive
Afsan Ali,5,good service,2026-03-09 19:32:49,0,amzon_reviews,unknown,Positive,Positive,Positive
Shamshadshishamashal Yenquibu,5,thank you,2026-03-12 04:27:55,0,temu_reviews,unknown,Positive,Neutral,Positive
Sarina Stokes,5,love it so convenient,2026-03-07 05:07:10,0,amzon_reviews,unknown,Positive,Positive,Positive
Gary Shaw,3,it ok to play game and shop really not for me,2026-03-12 08:08:25,0,ali-express_reviews,unknown,Neutral,Negative,Neutral
Pushpitha kavinda,5,good,2026-02-28 10:29:21,0,ali-express_reviews,unknown,Positive,Positive,Positive
Delowar hossain,5,i use noon first time if noon give good service and give good quality product i will stay with noon long time,2026-03-03 21:31:54,0,noon_reviews,unknown,Positive,Positive,Positive
Sarifur Rahman,5,i like to order anything from here,2026-03-07 09:06:09,0,noon_reviews,unknown,Positive,Neutral,Positive
Hazator,1,there no new suggestionsif u ever search or click on one product itll haunt u forever in the recommendation and everything related to it would be throwed at u even if u uninterest them,2026-03-08 04:26:35,1,ali-express_reviews,unknown,Negative,Neutral,Negative
dina al hasan,1,there is no proper customer service on noon food i submitted a complaint and received no response this is not the first time i received the wrong item it keep happening and there is no clear way to speak to a representative very disappointing experience,2026-02-26 18:18:42,0,noon_reviews,unknown,Negative,Negative,Negative
Rickard Terfelt,3,update after yet another contact with aliexpress i got my refund however that cost a lot of time i have shopped a lot from ali in resent year and problem have mostly been resolved if proof of problem gave been given but now proof is not enough i got a obvoius scam a package with only wrapping in it no good at all several communication session with picture and video with ali and seller in wain still they now ask for more proof and disregarded my claim,2026-03-01 13:44:18,1,ali-express_reviews,unknown,Neutral,Negative,Neutral
Thomas Arthur,5,amazed,2026-03-12 07:25:11,0,ali-express_reviews,unknown,Positive,Neutral,Positive
FRITOSPORT,1,scammer and fraud they will protect a seller store that never ship your product they provide fake tracking number and their senior team will never help you get your refund for an item that is never delivered you can provide all of the proof and yet they will never help you at all this company doesnt honor their 20day or refund rule stay away from these thief,2026-03-07 15:46:25,1,ali-express_reviews,unknown,Negative,Negative,Negative
Mek,1,annoying ad,2026-03-12 23:27:03,0,temu_reviews,unknown,Negative,Neutral,Negative
S Gra,1,extremely cheap quality,2026-03-12 18:54:20,0,temu_reviews,unknown,Negative,Neutral,Negative
Suraj R,5,just amazing,2026-03-12 17:23:20,0,temu_reviews,unknown,Positive,Positive,Positive
Ahmed Adel,1,خدمه العملاء زباله السيستم زباله ولو حصل مشكله في الاوردر مفيش ريفند,2026-03-05 08:48:51,0,amzon_reviews,unknown,Negative,Neutral,Negative
Brenda Hale,5,variety a n d return policy,2026-03-12 01:48:13,0,temu_reviews,unknown,Positive,Neutral,Positive
Carole Lindsell,2,dismal,2026-03-06 13:27:58,0,amzon_reviews,unknown,Negative,Neutral,Negative
Norma Cross,5,very good i like it amazon,2026-03-10 17:37:24,0,amzon_reviews,unknown,Positive,Positive,Positive
John Atkinson,1,to much stupid game l just wish to look around ser what for sale,2026-03-12 08:29:06,0,temu_reviews,unknown,Negative,Neutral,Negative
Norbert Gal,1,my parcel got lost by evri had an email confirming this and still aliexpress said not enough proof to get a refund money gone im wasting my time chasing up on refund they should talk to each other,2026-02-21 11:04:29,2,ali-express_reviews,unknown,Negative,Negative,Negative
Johanna Labahn,5,love the convenience,2026-03-11 04:28:54,0,amzon_reviews,unknown,Positive,Positive,Positive
taimur abbasi,3,very nice but sometimes the image of the item dont load,2026-02-22 17:56:32,0,ali-express_reviews,unknown,Neutral,Neutral,Neutral
vijith kumar,5,good shopping cartcheap priceand good qualityvalue for money,2026-03-12 16:17:29,0,temu_reviews,unknown,Positive,Positive,Positive
Tamara,2,why doe this show option that arent even available it frustrating and idiotic,2026-03-05 23:43:50,0,amzon_reviews,unknown,Negative,Neutral,Negative
Shahlom BD,5,good,2026-03-05 05:33:07,0,noon_reviews,unknown,Positive,Positive,Positive
Somnang Sam Tim,5,good product,2026-03-07 04:27:19,0,amzon_reviews,unknown,Positive,Positive,Positive
Yahya Mohammed,5,افضل تطبيق في مجال التسوق أونلاين التطبيق سهل ومريح وكمان خدمه العملاء والاسترجاع والحاجات اللي زي كده ممتازه,2026-02-26 16:43:38,0,noon_reviews,unknown,Positive,Neutral,Positive
Teresa Lambert,1,they bug you to death about picking free or low cost item then you have to buy item to make up for the low cost item then they dont mail your free or low cost item very disappointed,2026-03-12 08:53:35,0,temu_reviews,unknown,Negative,Negative,Negative
Rohit,5,exilent,2026-03-02 21:09:28,0,noon_reviews,unknown,Positive,Neutral,Positive
Jared,1,just use the website if youre reading this the app ha awful ui and that rufus ai is not needed but the icon is forever at the bottom right and easy to accidently tap no dark mode either this app came with my phone and can not be deleted which make me wish for a zero star rating for thing forced that arent useful,2026-03-05 23:45:38,0,amzon_reviews,unknown,Negative,Negative,Negative
Joannie Cash,5,i dont have a cellphone to get my password,2026-03-11 23:07:03,0,temu_reviews,unknown,Positive,Negative,Positive
Tokuijin,1,i still havent received my refund and the customer service is abysmal,2026-02-21 12:36:59,3,ali-express_reviews,unknown,Negative,Neutral,Negative
Thamer Alhashimi,1,why no dark mod,2026-03-09 04:26:57,1,amzon_reviews,unknown,Negative,Neutral,Negative
Shafqat Nadeem,1,good,2026-02-25 01:38:48,0,noon_reviews,unknown,Negative,Positive,Negative
Archie Barham,3,these so called winning offer are a bunch of b do yourself a favor and skip the promotion,2026-03-11 21:53:38,0,temu_reviews,unknown,Neutral,Neutral,Neutral
Dmar Mak mafe,5,good app,2026-03-12 16:09:07,0,noon_reviews,unknown,Positive,Positive,Positive
Remoon Kamal,5,very good application,2026-03-02 10:25:19,0,noon_reviews,unknown,Positive,Positive,Positive
Rhonda Neal,5,9 out of 10 because sometimes the order are wrong probably human error but all in all great service,2026-03-06 12:56:32,0,amzon_reviews,unknown,Positive,Neutral,Positive
Mohammad Mahadi,4,good,2026-03-05 05:29:02,0,noon_reviews,unknown,Positive,Positive,Positive
Time N Fate Int'l,4,they play too muchwith the word freenice productsbut i feel like im a casino instead of a shopping site i dont gamble but no complaint about my delivery of order they do come through nicely,2026-03-12 22:46:56,0,temu_reviews,unknown,Positive,Negative,Positive
Trenton Tanner,5,great glass,2026-03-12 23:43:06,0,temu_reviews,unknown,Positive,Positive,Positive
stephen amos,5,good range of product,2026-02-24 15:49:30,0,ali-express_reviews,unknown,Positive,Positive,Positive
chris cueto,1,this new update ha pretty much ruined the app,2026-03-05 23:43:35,0,amzon_reviews,unknown,Negative,Neutral,Negative
Mr Munazir,5,good,2026-03-06 12:56:18,0,noon_reviews,unknown,Positive,Positive,Positive
Robinette Brown,1,negative 1 million to the fullest it funny how amazon ha supervisor and manager that can not resolve issue but can only take feedback to me thats a waste of money and they should be eliminated i have tried over and over to resolve my account issue with this dysfunctional organization and have gotten nowhere i have contacted the right organization that will help me with this issue and best believe i will never returnsuggest anyone to shop with these horrible people and organization,2026-03-08 16:03:24,0,amzon_reviews,unknown,Negative,Negative,Negative
Patrice Pearson,5,i love this site easy to shop on and they do deliverand you find whatever you are looking for on it good product and value for money,2026-03-11 21:02:11,0,amzon_reviews,unknown,Positive,Positive,Positive
David Wilson,4,great,2026-02-23 15:25:05,0,ali-express_reviews,unknown,Positive,Positive,Positive
Angela Alce,1,ive been to make the account ever since i download this appit is not working every single time is always being slow and it tell me that my account is locked and i have to regain accessi do every gmail i havethis is the worst app i ever had i dont even write viewsbut this is the worst app that i have to,2026-03-01 19:15:16,0,ali-express_reviews,unknown,Negative,Negative,Negative
Michelle Grooms,5,it great to get 3 item for 99 cent,2026-02-27 15:53:00,0,ali-express_reviews,unknown,Positive,Positive,Positive
Mohaimen Macala,5,,2026-03-04 02:51:22,0,noon_reviews,unknown,Positive,Neutral,Positive
Clynt Barker,1,order placed but no tracking available notification to say delayed but still unable to track let alone find which courier is being used system just loop you in circle without actually finding a solution or answer stick to tried and tested sa service rather,2026-03-12 22:47:10,0,amzon_reviews,unknown,Negative,Neutral,Negative
Safina Nadeem,3,long time taking in order specially when getting involve tabby and tamara,2026-03-10 07:51:35,0,noon_reviews,unknown,Neutral,Neutral,Neutral
