userName,score,content,at,thumbsUpCount,source,app,score_based,rule_based,final_label
Carla Luke Fleee,5,item dont take but a week or two to arrive thing that i order always amazes me how well they look and work,2026-03-12 10:59:31,0,temu_reviews,unknown,Positive,Negative,Positive
M S (McSkindy),1,the app and the website are useless actually unusable i search for something and it give me multiple result except when i click on a result it say something went wrong i click on the next one something went wrong 5th or 6th result finally show me something but when i try to select an option underneath for type or style a blank menu pop up and never reveals anything no mater how much you refresh literally useless i wish i could cancel my prime again,2026-03-05 21:47:38,2,amzon_reviews,unknown,Negative,Negative,Negative
Muhammad Waqar,5,i love you noon amazing best online shopping,2026-03-04 11:38:04,0,noon_reviews,unknown,Positive,Positive,Positive
Cyber boy,4,i made a lot of purchase from aliexpress it quite good experience but lately im facing a difficulty with a shipping fee that for 1 item shipping is like 50 and even more so please try fixing that,2026-03-05 08:05:48,0,ali-express_reviews,unknown,Positive,Positive,Positive
Devker Srinivas,5,it good,2026-03-06 16:36:16,0,noon_reviews,unknown,Positive,Positive,Positive
Roxanne Garrett,3,temu is out of china which bother me but i will buy when i feel i have a good price for a good product,2026-03-12 22:43:12,0,temu_reviews,unknown,Neutral,Positive,Neutral
Anthony,1,never got the product,2026-03-12 19:38:33,0,temu_reviews,unknown,Negative,Negative,Negative
robert Terrell,1,this is crooked a hell youre stealing from me google play is stealing from me how did my account stop using my account stop taking money out for amazon prime cancel everything with amazon you are not authorized to take money out im a disabled senior who do you think you are stop taking my money you are not authorized to take money out of my account,2026-03-12 16:08:30,0,amzon_reviews,unknown,Negative,Negative,Negative
ndudi nwanguma,5,very ok a long a you read the information very well,2026-03-12 10:39:06,0,temu_reviews,unknown,Positive,Neutral,Positive
Bibas Thapa,5,good apps and service,2026-02-27 15:08:49,0,noon_reviews,unknown,Positive,Positive,Positive
Khalifa Attia,5,good and thanks,2026-03-05 18:26:44,0,noon_reviews,unknown,Positive,Positive,Positive
Gl Udayanga,1,,2026-03-12 11:42:42,0,temu_reviews,unknown,Negative,Neutral,Negative
Frederick H. Stralow,1,this is the most spamming app and company ever they use deceptive practice and they lie about thing which you have to actually read the fine print which they know most dont bother to read because they do whatever they want once you agree the stuff they send is not high quality and cheap i am going to remove the app and dont recommend using the app or the company but you are free to do what you want,2026-03-11 23:43:37,1,temu_reviews,unknown,Negative,Negative,Negative
Qaiser Butt,5,very good,2026-03-06 08:39:13,0,noon_reviews,unknown,Positive,Positive,Positive
Droheemon Swod,5,best service,2026-03-06 18:43:27,0,noon_reviews,unknown,Positive,Positive,Positive
Rahl Gadu,5,למה זה לא מוריד לי ניסיתי אד 24 שאות אפילו יתמול,2026-03-12 16:48:37,0,ali-express_reviews,unknown,Positive,Neutral,Positive
ivy rose amada,5,very helpful,2026-03-12 04:28:34,0,temu_reviews,unknown,Positive,Neutral,Positive
Audrey Huff,3,im not savvy enough to understand,2026-03-10 22:51:05,0,amzon_reviews,unknown,Neutral,Negative,Neutral
ZAKIR ULLAH,5,good,2026-03-10 06:11:42,0,noon_reviews,unknown,Positive,Positive,Positive
Tyler Mitchell,1,the best place to buy chinese counterfeit at full price,2026-03-06 06:09:55,0,ali-express_reviews,unknown,Negative,Neutral,Negative
محمد صلاح,1,not availabke for tap,2026-03-11 20:55:09,0,amzon_reviews,unknown,Negative,Negative,Negative
Regina Markham,5,amazon shopping is so easy get me in trouble sometimes,2026-03-10 00:46:03,0,amzon_reviews,unknown,Positive,Neutral,Positive
Jose Goris,1,unable to add item to cart only option is to buy now,2026-02-27 10:40:51,1,ali-express_reviews,unknown,Negative,Neutral,Negative
Dim Sum,1,false advertisingthin and poor quality clothes fake add and fake promotion this site is terrible annoying returnsscam city,2026-03-12 08:33:12,3,temu_reviews,unknown,Negative,Negative,Negative
craig williams,1,a rubbish conglomerate that will not refund any order that yodel decide to leave in an unsafe place and so go missingeven though in their own term they refund if package is lostalready have been in touch with customer service 18 time numerous appeal you are not interested and deny refund every time in response to your reply,2026-02-28 11:51:40,1,ali-express_reviews,unknown,Negative,Negative,Negative
Umair Khan,5,very good,2026-02-26 06:08:26,0,noon_reviews,unknown,Positive,Positive,Positive
Devon Morey,1,not connecting properly to my amazon account on my computer ive used amazon for year yet all of a sudden i have no previous order when im on my phone ive checked and im using the exact same account on both cant even use the app to purchase anything it say everything is out of stock something is very wrong,2026-03-07 02:19:05,0,amzon_reviews,unknown,Negative,Negative,Negative
mustafa mustafa,5,great service,2026-03-03 09:29:42,0,noon_reviews,unknown,Positive,Positive,Positive
Natalie Aponte,4,i liked the app when i first used it in 2023 where i could add anything to cart and it all be really cheap but now price have been upped and there deal on stuff where the price is cheap but you cant add it to cart which suck cuz when you do find the item it way more expensive it still good deal but wish it wa the same a it wa in 2023,2026-03-04 05:33:59,0,ali-express_reviews,unknown,Positive,Positive,Positive
md mahbub,5,good,2026-03-04 17:21:31,0,noon_reviews,unknown,Positive,Positive,Positive
Mamie Briggs,5,very good i am very happy with everything i have received from your company,2026-03-12 18:15:23,0,temu_reviews,unknown,Positive,Positive,Positive
Amrit Choudhary,5,good service,2026-03-04 17:28:08,0,noon_reviews,unknown,Positive,Positive,Positive
Adriana,5,awesome done just awesome i love this because the thing you can access in the app,2026-03-07 21:18:05,0,amzon_reviews,unknown,Positive,Positive,Positive
jpala821,1,this company might have tie to fake charity that do very awful thing to cat in china i can not support a business that tie to these vile group,2026-03-12 07:30:24,0,temu_reviews,unknown,Negative,Negative,Negative
Cooper Erskine,5,honestly this app ha one of the best customer service ever i had an issue with my giftcard not that long ago and got into a chat with a customer service employee they were easy to understand filed me a ticket almost immediately and were really sweet,2026-03-10 01:00:58,0,amzon_reviews,unknown,Positive,Neutral,Positive
John Mullen,4,shipping is the only thing it way to long for to receive,2026-03-12 16:44:11,0,temu_reviews,unknown,Positive,Neutral,Positive
Kirnstine Shane Ybañez,5,amazing,2026-03-12 09:53:49,0,temu_reviews,unknown,Positive,Positive,Positive
Manfred Prokesch,1,ich wollte nur eine maus bestellen und wurde mit nicht benötigten artikeln über paypal abgezockt,2026-03-12 14:19:11,0,temu_reviews,unknown,Negative,Neutral,Negative
manir islam,5,good,2026-03-08 08:44:13,0,noon_reviews,unknown,Positive,Positive,Positive
Lency Gooden,5,app ha updated waiting to see promotion,2026-02-23 08:13:14,0,ali-express_reviews,unknown,Positive,Neutral,Positive
Andrea Cardenas,5,easy to use i buy everything on amazon app,2026-03-12 13:30:35,0,amzon_reviews,unknown,Positive,Neutral,Positive
Ikram Hossen,5,good,2026-03-10 05:40:00,0,noon_reviews,unknown,Positive,Positive,Positive
Bernadette Hayes,5,i enjoy team temu,2026-03-12 19:49:02,0,temu_reviews,unknown,Positive,Neutral,Positive
Kay Main,5,awesome site excellent value truly amazing,2026-03-11 22:32:45,1,temu_reviews,unknown,Positive,Positive,Positive
Rebecca Heim,1,1 star because they dont have 0 bad customer service not customer friendly the customer supervisor wa not knowledgeable very sarcastic and just generally made me question if i even want my amazon account,2026-03-06 02:15:59,1,amzon_reviews,unknown,Negative,Negative,Negative
Wayne Leone,1,amazon suck,2026-03-09 16:29:56,1,amzon_reviews,unknown,Negative,Neutral,Negative
Tammy Skifstad,5,i can easily find anything im looking for everything ive bought is very high quality,2026-03-11 03:32:49,0,amzon_reviews,unknown,Positive,Neutral,Positive
Pavel S,1,the spinning roulette on the website is very annoying i just want to enter the site and buy a product but because of the lottery wheel and other silly promotion it make me prefer ordering from aliexpress instead,2026-03-12 02:36:24,0,temu_reviews,unknown,Negative,Neutral,Negative
Momen Mdmomen,5,good,2026-03-09 18:39:22,0,noon_reviews,unknown,Positive,Positive,Positive
Usman Nuhu,1,useless app please dont use this app take more than a month for your package to be delivered customer service not responding,2026-03-04 17:00:15,1,ali-express_reviews,unknown,Negative,Negative,Negative
Russell Perkins,1,disgusting treatment false advertising a pair of product that were sold but never recieved claiming it wa only one of the item when ive got evidence from advert and order receipt delayed delayed delayed now im still fighting for a refund 2 month down the line never been treated like this by a company and their seller watch out for navrider seller total scam ali express are enabling many like them and withholding my refund after admission of negligence,2026-03-10 10:50:39,1,ali-express_reviews,unknown,Negative,Negative,Negative
April Ae,5,fast delivery,2026-03-05 14:11:42,0,noon_reviews,unknown,Positive,Positive,Positive
Heather Downs (HATE_HeAThEr),1,this site is the biggest fake scam rip off ive been riped off 3 time by their fake reward they say if you reach an amount and place your order a certain amount of a cash reward will be deposited into your paypal account or have the the amount in temu credit after you place the order youre asked to verify your paypal account once you do that the site instantly redirects you to the wheel to spin for coupon and you never receive the paypal reward it a scam im done,2026-03-12 08:30:30,1,temu_reviews,unknown,Negative,Negative,Negative
Gray,2,work alright but it load suggestion before search result making it nearly unusable on a slow connection additionally there no reason the app need to be notified of my taking a screenshot i literally just wan na give you money so i can buy thing how do you screw that up this badly,2026-03-07 00:16:04,0,amzon_reviews,unknown,Negative,Neutral,Negative
Debra Allen,5,i like temu tshirts and decor,2026-03-12 01:55:27,0,temu_reviews,unknown,Positive,Neutral,Positive
Md Sujon Ahmed,5,very good,2026-02-26 10:41:21,0,noon_reviews,unknown,Positive,Positive,Positive
Sean Quigley,1,cant find anything with the new ui,2026-03-05 23:04:26,0,amzon_reviews,unknown,Negative,Neutral,Negative
Jesson,1,brought faulty item refused credit or refund unable to submit video or picture due to their site not accepting the file even though format wa correct uninstalling over a mere 12,2026-03-12 12:23:59,0,ali-express_reviews,unknown,Negative,Negative,Negative
Maria Zayas,5,very happy with my product 10 of 10 thank you,2026-03-12 15:42:15,0,temu_reviews,unknown,Positive,Positive,Positive
Yahsser Mashyardic,1,listen this app ha thousand of product but 95 of the product are so cheap knockoff total waste of time the one thing i like is that you return the product if u have the time and u get your refund otherwise u realize money wasted again the worst thing is their promotion dont fall for it it tell you free gift u aint gon na get jack share their app with friend then share 2 more time then keep going for this reason i stopped using and buying thing from them 0,2026-03-12 05:35:55,0,temu_reviews,unknown,Negative,Negative,Negative
Josh Conwell,1,get worse after every update now most of the listing say see option instead of add to cart or buy now and im constantly getting error message youd think a multibillion dollar company would have a halfway decent app but nope,2026-03-05 23:56:07,0,amzon_reviews,unknown,Negative,Neutral,Negative
Ross Hart,4,great selection,2026-03-12 03:28:07,0,amzon_reviews,unknown,Positive,Positive,Positive
Clinton Mini,5,the best app you can be sure for ordering good and get it delivered to your door step,2026-03-11 20:45:54,0,temu_reviews,unknown,Positive,Positive,Positive
younus chandpur,5,good,2026-03-01 14:32:21,0,noon_reviews,unknown,Positive,Positive,Positive
Shamim Hasan,5,very good,2026-03-05 23:35:30,0,noon_reviews,unknown,Positive,Positive,Positive
Jerry Aloof,5,essential,2026-03-10 06:09:53,0,amzon_reviews,unknown,Positive,Neutral,Positive
Daniel (Lovesteady),1,everything on here is made terrible or just a lie,2026-03-04 14:51:52,0,ali-express_reviews,unknown,Negative,Negative,Negative
Mohamed Zubair Zubair,1,this application ha proven to be one of the most unsatisfactory i have encountered i experienced a lack of proper responsiveness and my order wa canceled without my consent even after payment had been processed due to these significant issue i will be uninstalling it from my device,2026-02-26 06:14:09,0,noon_reviews,unknown,Negative,Neutral,Negative
Ahmed Abdul kawy,5,حلو,2026-02-27 21:48:11,0,noon_reviews,unknown,Positive,Neutral,Positive
David,3,edit ai customer support service poor ai previous45 probably best place for online shopping but should be more reliable scammer exists but most of my purchase are ok aliexpress doesnt deserve the blame for the scammer that use it but they can make a few change to drastically nerf scammer,2026-02-24 16:14:15,1,ali-express_reviews,unknown,Neutral,Neutral,Neutral
Alicia Robinson,5,year later and still shopping at temu love my product some not so much but you get what you pay for im still happy ill give 5 star i love this place just like buying in a store here in america you just buy direct without all their extra fee i always use paypal or prepaid card,2026-03-11 23:00:12,1,temu_reviews,unknown,Positive,Positive,Positive
Sunnie Ray (Sunnie),5,i really love this app it definitely my goto place to buy cosplays or accessory or just thing i need it doe take a while for thing to be delivered but that really isnt a problem for me the only problem i have is that sometimes i get ai generated ad and i hate it other than that i freaking love you aliexpress,2026-02-16 20:48:13,0,ali-express_reviews,unknown,Positive,Negative,Positive
Sam Sharbali,2,order get cancelled without prior notice and without any justification,2026-03-03 13:13:57,0,noon_reviews,unknown,Negative,Neutral,Negative
KSA KABIR,5,good store,2026-03-10 04:39:22,0,noon_reviews,unknown,Positive,Positive,Positive
Houman Tavakoli,2,changing option of a product cause the amazon app to hang or slow down for about 10 second this is new behavior like since 1 month ago or less,2026-03-09 07:47:15,1,amzon_reviews,unknown,Negative,Negative,Negative
Rawle Tewari,1,what happened to this app it terrible i cant even do a return now,2026-03-05 14:27:49,0,amzon_reviews,unknown,Negative,Negative,Negative
Asif Manzar,5,great value of item,2026-02-27 22:11:47,0,noon_reviews,unknown,Positive,Positive,Positive
Gershom Levenspiel,2,where is my tounge,2026-03-12 04:46:25,0,temu_reviews,unknown,Negative,Neutral,Negative
Michael Tom,1,need dark mode year overdue overall clunky ui,2026-03-07 11:03:34,1,amzon_reviews,unknown,Negative,Neutral,Negative
MD ARIAN,1,too much complicated,2026-03-08 18:17:37,0,noon_reviews,unknown,Negative,Neutral,Negative
Kitty Katt,1,amazon doesnt care about their customer anymore it sad after decade of my loyalty i still have issue with delivery and fulfillment of order customer service lie or pacifies customer no more can i trust them ill take my business elsewhere,2026-03-12 15:11:01,1,amzon_reviews,unknown,Negative,Neutral,Negative
Mark,1,not on my tablet anymore shame on you narrow sighted imbecile have used the app in my household for a decade hate to think how many thousand of dollar my wife ha spent your web site suck guess we will shop elsewhere from now on,2026-03-07 01:54:26,0,amzon_reviews,unknown,Negative,Negative,Negative
Micheline Abrahams,5,the app is great,2026-03-12 18:42:14,0,temu_reviews,unknown,Positive,Positive,Positive
Shianne Crank,5,ok,2026-03-05 16:49:15,0,amzon_reviews,unknown,Positive,Neutral,Positive
Imtiaz Ahmed,5,good,2026-03-12 15:49:19,0,noon_reviews,unknown,Positive,Positive,Positive
Why Asking,1,issue after issue with item not delivered and no refund or possibility to get adequate response customer service pretend to be on your side just to deny any evidence regarding order not received sad to see customer service going downhill,2026-03-01 15:26:30,1,ali-express_reviews,unknown,Negative,Negative,Negative
David GIlmore,5,excellent,2026-03-10 06:11:11,0,ali-express_reviews,unknown,Positive,Positive,Positive
Dorothy Maddocks,4,im a new customer and i want to buy something help please,2026-03-10 22:29:49,0,amzon_reviews,unknown,Positive,Neutral,Positive
Ivy Muyambo,1,i really really love the app but it led me install it on my phoneitll install the other appsi mean on other phone,2026-03-08 15:30:23,0,amzon_reviews,unknown,Negative,Positive,Negative
Tina Smart,5,love shopping here only the best,2026-03-04 07:04:13,0,ali-express_reviews,unknown,Positive,Positive,Positive
wendu dana,5,nice app,2026-03-11 04:31:27,0,amzon_reviews,unknown,Positive,Positive,Positive
April Johnson,1,i hate amazon so much 1 please for the love of god just charge my account when i purchase thing and not randomly over the next several day in different unknown amount making have to add everything up and watch my account making sure everything is accounted for appropriately 2 customer service suck i called about a potential issue on an order with a deadline and wa basically told dont worry and rushed off the phone when the agent kept repeatedly asking is there anything else,2026-03-10 18:01:23,1,amzon_reviews,unknown,Negative,Negative,Negative
Van Zyl De Bruyn,2,not recommend been waiting over a month for my payed item ph protector none delivered after paying even airport cost and delivery fee so uf cant trust them with a phone cover than you cant trust or rely on temu,2026-03-12 20:32:25,1,temu_reviews,unknown,Negative,Neutral,Negative
ATEEQ RAJA,5,great,2026-02-28 05:31:38,0,noon_reviews,unknown,Positive,Positive,Positive
Marilyn Raymond,5,beautiful craftsmanship lovely item i can not find in america these people are talented and work very hard love all of their item and their culture we dont seem to make beautiful crafty thing in america anymore i miss this,2026-03-11 21:05:42,0,temu_reviews,unknown,Positive,Negative,Positive
Brooklynn Myles,1,wa doing the hat trick game for free prize got to 001 then weirdly all the invite to new people just stopped working seems to me it conveniently stopped working a i wa about to win very disappointed,2026-03-12 04:55:46,0,temu_reviews,unknown,Negative,Neutral,Negative
John Westray,1,although they have great price and a great choice you use them at your own risk i have had a number of parcel delivered not containing what i ordered on one occasion i received a wooden fork instead of the inverter i ordered the seller doe this so that a proof of postage is available customer service is hell to deal with avoid there are better trader available,2026-02-20 11:56:12,2,ali-express_reviews,unknown,Negative,Neutral,Negative
Martin Chadburn,5,love this amazing product at amazing price,2026-03-12 21:28:05,0,temu_reviews,unknown,Positive,Positive,Positive
roger whittle,4,positive overall sometimes confusing,2026-03-08 11:19:38,0,ali-express_reviews,unknown,Positive,Neutral,Positive
Nashim Noushad,4,nice,2026-03-03 03:46:20,0,noon_reviews,unknown,Positive,Positive,Positive
kourtly dentley,1,dont order wates of time never came then win i order again price went up,2026-03-09 15:51:48,1,ali-express_reviews,unknown,Negative,Negative,Negative
Arik Braslavsky,1,horrible do yourself a favor and dont use amazon awful service i ordered an item they make me wait for it for a month with a gurantee for it to come before a date then two day before the date they have to deliver it they send it back to seller and telling me it broken and then i order it again it dont come and they hust say oh were sorry do a refund like it ok them i ordered another one ive waited over a month and it didnt even get to custom not using it ever again,2026-03-08 06:34:12,0,amzon_reviews,unknown,Negative,Negative,Negative
Gentry Edwards jr,5,five star for giving first time user the chance of purchasing item that are ready to make use of in everyday life thanks from gentry j edward jr 87,2026-02-27 03:31:37,0,ali-express_reviews,unknown,Positive,Neutral,Positive
SIPHO MNCUBE,4,excellent,2026-03-07 17:03:08,0,amzon_reviews,unknown,Positive,Positive,Positive
Maria Mello,4,i have been ordering a lot from temu and i am satisfied for now i have never experienced a problem before,2026-03-12 10:29:45,0,temu_reviews,unknown,Positive,Negative,Positive
Nalukenge Brenda,5,massive,2026-03-12 17:33:42,0,noon_reviews,unknown,Positive,Neutral,Positive
Moses Thembinkosi Khuma,5,very essential,2026-03-12 12:40:09,0,temu_reviews,unknown,Positive,Neutral,Positive
SELVAKUMAR GOVINDASAMY,5,good,2026-02-26 20:32:52,0,noon_reviews,unknown,Positive,Positive,Positive
Angie Martin,5,definitely my fav app i use it more than any other app,2026-03-06 18:12:23,0,amzon_reviews,unknown,Positive,Neutral,Positive
Sherry Riels,5,online shopping thank you so much,2026-03-12 01:04:22,0,temu_reviews,unknown,Positive,Neutral,Positive
Kinggodtrs Thpbtamtatc,1,hate it,2026-03-12 00:37:13,0,temu_reviews,unknown,Negative,Negative,Negative
Trae Patterson,1,to much add,2026-02-22 14:52:56,0,ali-express_reviews,unknown,Negative,Neutral,Negative
Gabriel Frost,1,downloaded the app to see about the hype i dont trust the low price so i deleted the app and im still bombarded with their add on you tube even after blocking several of them dont get this if you want constant add,2026-03-06 00:18:42,0,ali-express_reviews,unknown,Negative,Negative,Negative
Daniel A Cannon,1,delivery instruction never followed consistency of delivery time estimate not being correct customer service is an ai bot thats useless 1 star seller still operating with over 1k complaint list go on,2026-03-12 19:41:38,0,amzon_reviews,unknown,Negative,Negative,Negative
Md Jahidul,5,good,2026-03-08 15:48:10,0,noon_reviews,unknown,Positive,Positive,Positive
Fig “Tasty” Newton,1,your ai inclusion ha destroyed the app experience for me item option do not load well at all half the time it freeze the app and just gray out the option and price area while failing to respond yall have absolutely no clue what youre doing huh,2026-03-07 18:28:17,1,amzon_reviews,unknown,Negative,Negative,Negative
somrat sk,5,good,2026-02-27 07:22:02,0,noon_reviews,unknown,Positive,Positive,Positive
Eulalio Loya,5,i been mostly good couple of mistake but is been good,2026-03-12 19:08:36,0,temu_reviews,unknown,Positive,Positive,Positive
Shandella brown,5,love it,2026-03-12 00:40:24,0,temu_reviews,unknown,Positive,Positive,Positive
Penelope Richards-Scott,5,love them,2026-03-12 01:29:33,0,temu_reviews,unknown,Positive,Positive,Positive
Muhammad Ghafran,5,good,2026-02-26 11:57:53,0,noon_reviews,unknown,Positive,Positive,Positive
chris Fourzan,1,worse than temu delivey time is terrible rather order from tiktok because they ship in 3 day,2026-02-27 17:25:03,0,ali-express_reviews,unknown,Negative,Negative,Negative
jasson melendez,5,excellent product thank you temu,2026-03-12 15:24:28,0,temu_reviews,unknown,Positive,Positive,Positive
Africa J.,1,i dont know what type of update amazon had recently but i can no longer purchase thing in my cart everytime i go to checkout an error page keep popping up,2026-03-05 21:52:02,0,amzon_reviews,unknown,Negative,Negative,Negative
Nabeel Farooq,5,excellent app quick service,2026-03-04 15:33:32,0,noon_reviews,unknown,Positive,Positive,Positive
Muhammed Umar Maroof Khan,5,quick ordering easy,2026-03-04 21:55:03,0,noon_reviews,unknown,Positive,Neutral,Positive
Him Laif,1,beware aliexpress will not refund order in package for which sister company cainiao logistics alibaba group issued proof of loss document,2026-03-03 01:28:12,1,ali-express_reviews,unknown,Negative,Negative,Negative
C A,1,stuff get delivered literally whenever if i order next day delivery it arrives in 3 day if i order a specific delivery day they deliver it on a different day when im not home or my favorite theyll make 4 different delivery to my house on the same day absolute stupidity,2026-03-12 20:34:26,0,amzon_reviews,unknown,Negative,Negative,Negative
haji ajis haji bangok,5,good,2026-03-12 04:14:00,0,temu_reviews,unknown,Positive,Positive,Positive
Fredric Reider,4,i love how convenient it is but occasionally like today it unusable update issue most likely hopefully it will work tomorrow,2026-03-05 23:46:56,0,amzon_reviews,unknown,Positive,Positive,Positive
Mohammed Ashraf,5,nice,2026-03-06 19:30:14,0,noon_reviews,unknown,Positive,Positive,Positive
Musa Bahi,5,i really like this application i can get everything from home and it is very fast thank you noon,2026-03-05 14:15:38,0,noon_reviews,unknown,Positive,Positive,Positive
Henry Giroir Jr.,4,easiest way to shop for hard to find thing,2026-03-10 21:18:43,0,amzon_reviews,unknown,Positive,Neutral,Positive
Marcie Graham,1,never got my stuff they lied about the mailing source dont trust them i lost out on my money too temu is better,2026-03-11 21:53:27,0,ali-express_reviews,unknown,Negative,Negative,Negative
Rahmat Khan,5,good,2026-02-28 12:22:06,0,noon_reviews,unknown,Positive,Positive,Positive
jzimme248,1,did a recommended update today on the app and now i can no longer check out and make a purchase nor can i view review or product detail what in the world amazon fix this asap because if customer can not order you will be losing a lot of money very quickly super frustrating and i hope this is fixed,2026-03-06 00:05:07,0,amzon_reviews,unknown,Negative,Negative,Negative
Craig Maybury,1,the app is crashing constantly now i cant acess the play and earm area at all,2026-03-11 02:53:35,0,ali-express_reviews,unknown,Negative,Neutral,Negative
ulises sanchez,5,fast service and if they screw it they fixt it,2026-03-06 00:38:21,0,amzon_reviews,unknown,Positive,Positive,Positive
Jamila Fekry,5,very good,2026-03-02 20:34:24,0,noon_reviews,unknown,Positive,Positive,Positive
Andri Pech,1,the seller canceled my order and made a refund but i cant withdraw my money because the app doe not accept a withdraw by using your original methodpayment i paid by oxxo so my money turned into a frozen refund that im uncapable to withdraw in a nutshell i wasted money and time,2026-03-01 01:37:50,1,ali-express_reviews,unknown,Negative,Negative,Negative
Dark King35,4,so far every order i want came a expected,2026-03-08 00:44:50,0,amzon_reviews,unknown,Positive,Neutral,Positive
Umer Zfold,5,good,2026-02-27 21:56:36,0,noon_reviews,unknown,Positive,Positive,Positive
James Morgan,1,scam central avoid like the plague,2026-02-18 21:49:01,0,ali-express_reviews,unknown,Negative,Neutral,Negative
Joshua Carter,1,what a scam they will tell you thing are delivered and when they were not if you then utilize the chat to ask about it you get some ai chatbot in china that doe nothing for you im out money now with no product to show for it,2026-02-28 07:59:14,1,ali-express_reviews,unknown,Negative,Negative,Negative
György Nándor Traser,1,a temu egy agresszív vírus nem lehet kiirtani egy kész katasztrófa,2026-03-12 22:15:02,0,temu_reviews,unknown,Negative,Neutral,Negative
Phyllis Jackson,5,i think they deserve a five star bc amazon truly try to assist support customer who dont understand the app plus assist with replacing or reordering outcast purchase and if this doesnt resolve the issue at hand theyll refund your total fund ive unbelievably received all fund into my account thanks amazon team for going above and beyond expectation in solving issue with vender from another satisfied customer,2026-03-12 08:50:19,0,amzon_reviews,unknown,Positive,Neutral,Positive
Oryiman Obem,5,mobilebook,2026-03-11 22:16:07,0,temu_reviews,unknown,Positive,Neutral,Positive
Philip Brady,5,really positive with 95 of tbe vendor,2026-03-08 10:33:57,0,ali-express_reviews,unknown,Positive,Neutral,Positive
Boda Mahmoud,5,easy to use,2026-03-12 22:21:35,0,noon_reviews,unknown,Positive,Neutral,Positive
Jennie Beswick,1,great product awful service why cant you make it easy to turn off 1 click ive deleted my payment option and i put them in each time and then delete horrible security im no longer buying from amazon unless there is no other way deleting the app,2026-03-06 04:09:39,1,amzon_reviews,unknown,Negative,Neutral,Negative
Dontae Hufflin,5,awesome service never have had a single issue they send what is advertised every single time and you cant beat their price or their product temu wish have nothing on aliexpress,2026-03-11 21:14:59,0,ali-express_reviews,unknown,Positive,Negative,Positive
